title,url,image_url,price,image_hash,company
Logitech C922x Pro Stream Webcam 1080P Camera for HD Video Streaming (960-001176),https://www.amazon.ca/Logitech-Stream-Webcam-Streaming-960-001176/dp/B01LXCDPPK?dchild=1,https://m.media-amazon.com/images/I/712xpaJPT6L._AC_UL320_.jpg,157.37,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Amazon
"TP-Link WiFi Extender TL-WA850RE - Covers up to 800 sq. ft. with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), Single Band 2.4Ghz only, and Compact Wall Plug Design",https://www.amazon.ca/TP-Link-TL-WA850RE-Universal-One-button-Indicator/dp/B00E98O7GC?dchild=1,https://m.media-amazon.com/images/I/5162dBZuR2L._AC_UL320_.jpg,22.98,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",Amazon
"TP-Link AX3000 Wi-Fi 6 Bluetooth 5.0 PCIe Adapter, 2.4G/ 5G Dual Band Gigabit Wireless Network Adapter for PC Desktop, Supports Windows 10 only, Black (Archer TX3000E)",https://www.amazon.ca/TP-Link-Extender-Intelligent-Indicator-RE450/dp/B010S6SG3S?dchild=1,https://m.media-amazon.com/images/I/71SOvAX4SnL._AC_UL320_.jpg,89.99,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",Amazon
"AmazonBasics Letter Size Sheets Laminating Pouches 9 x 11.5in, 100-pack",https://www.amazon.ca/AmazonBasics-Thermal-Laminating-Pouches-11-4-Inch/dp/B00BWU3HNY?dchild=1,https://m.media-amazon.com/images/I/61C9vkSU8VL._AC_UL320_.jpg,17.49,"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",Amazon
"Samsung 860 EVO 1TB SATA 2.5"" Internal SSD (MZ-76E1T0/AM) [Canada Version]",https://www.amazon.ca/Samsung-Internal-MZ-76E1T0B-AM-Version/dp/B078DPCY3T?dchild=1,https://m.media-amazon.com/images/I/91JA5-hAnoL._AC_UL320_.jpg,149.99,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]",Amazon
Brother TN760 HIGH Yield Cartridge Toner,https://www.amazon.ca/Brother-TN760-Yield-Cartridge-Toner/dp/B075X6C5ZW?dchild=1,https://m.media-amazon.com/images/I/71Oc-6pmGSL._AC_UL320_.jpg,85.0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Amazon
SanDisk Ultra 32GB microSDHC UHS-I Card with Adapter - 98MB/s U1 A1 - SDSQUAR-032G-GN6MA,https://www.amazon.ca/Sandisk-SDSQUAR-032G-GN6MA-Ultra-Micro-Adapter/dp/B073JWXGNT?dchild=1,https://m.media-amazon.com/images/I/61wtfkbzUIL._AC_UL320_.jpg,14.5,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1]",Amazon
"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Black (9th Generation)",https://www.amazon.ca/All-New-Fire-HD-10/dp/B07KD87XW2?dchild=1,https://m.media-amazon.com/images/I/61-ngp6SbZL._AC_UL320_.jpg,199.99,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",Amazon
"PERLESMITH TV Wall Mount Full Motion Swivel Dual Articulating Arm for Most 37 -70 inch LED, LCD, OLED, Plasma TVs up to VESA 600x400mm, 132lbs",https://www.amazon.ca/Motion-Swivel-Articulating-600x400mm-PERLESMITH/dp/B077XC8M5V?dchild=1,https://m.media-amazon.com/images/I/71H7OESSsWL._AC_UL320_.jpg,49.99,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",Amazon
"Bose Sound Link Color Bluetooth Speaker II, Soft Black - 752195-0100",https://www.amazon.ca/Sound-Color-Bluetooth-Speaker-Black/dp/B01HETFQKS?dchild=1,https://m.media-amazon.com/images/I/71Xg3PvaiQL._AC_UL320_.jpg,169.56,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",Amazon
